text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
"Textile fabrics; impregnated, coated, covered or laminated with polyurethane",590320,HS 59,HS 59,"Textile fabrics; impregnated, coated, covered or laminated with polyurethane",en
"Other games and articles for games, meeting international standards",950490,HS 95,Toys,Other games and articles for games,en
"Paper or paperboard; waste and scrap, paper or paperboard made mainly of mechanical pulp (e.g. newspapers, journals and similar printed matter)",470730,HS 47,HS 47,"Paper or paperboard; waste and scrap, paper or paperboard made mainly of mechanical pulp (e.g. newspapers, journals and similar printed matter)",en
"Jackets and blazers; men's or boys', of textile materials n.e.c. in item no. 6203.3 (not knitted or crocheted)",620339,HS 62,HS 62,"Jackets and blazers; men's or boys', of textile materials n.e.c. in item no. 6203.3 (not knitted or crocheted)",en
"Ink; for printing, black, whether or not concentrated or solid",321511,HS 32,HS 32,"Ink; for printing, black, whether or not concentrated or solid",en
"Hair; fine animal hair, not carded or combed, other than of kashmir (cashmere) goats, for export under standard commercial terms, shipping term FOB.",510219,HS 51,HS 51,"Hair; fine animal hair, not carded or combed, other than of kashmir (cashmere) goats",en
"Footwear; waterproof with metal toe-cap, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)",640110,HS 64,HS 64,"Footwear; waterproof with metal toe-cap, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar)",en
"Trade declaration: aeroplanes, unladen weight 2000-15000kg, new",880230,HS 88,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",200600,HS 20,HS 20,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",en
"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of textile materials (other than wool, fine animal hair, cotton or synthetic fibres), (not knitted or crocheted), for customs clearance and import declaration, palletized for container shipment.",620469,HS 62,HS 62,"Trousers, bib and brace overalls, breeches and shorts; women's or girls', of textile materials (other than wool, fine animal hair, cotton or synthetic fibres), (not knitted or crocheted)",en
"Export grade pepper, neither crushed nor ground, certified",090411,HS 09,Spices,"Pepper, neither crushed nor ground",en
"Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9, for international wholesale distribution, for 20ft container loading.",030499,HS 03,HS 03,"Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9",en
"Jackets and blazers; women's or girls', of cotton (not knitted or crocheted), for export under standard commercial terms, with standard commercial invoice and packing list.",620432,HS 62,HS 62,"Jackets and blazers; women's or girls', of cotton (not knitted or crocheted)",en
"OnePlus 12 mobile phone, 5G capable",851712,HS 85,Electronics,Smartphones,en
"Electronic integrated circuits; n.e.c. in heading no. 8542, for customs clearance and import declaration, for 20ft container loading.",854239,HS 85,Electronics,Other electronic integrated circuits,en
"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; for human medicine",300241,HS 30,HS 30,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; for human medicine",en
"Freezers; of the chest type, not exceeding 800l capacity",841830,HS 84,HS 84,"Freezers; of the chest type, not exceeding 800l capacity",en
"Fibreboard (other than MDF) of a density exceeding 0.8g/cm3, of wood or other ligneous materials, bonded or not with resins or other organic substances",441192,HS 44,HS 44,"Fibreboard (other than MDF) of a density exceeding 0.8g/cm3, of wood or other ligneous materials, bonded or not with resins or other organic substances",en
"Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine",293369,HS 29,HS 29,"Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine",en
"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of wool or fine animal hair, knitted or crocheted, for industrial procurement contract, for mixed-lot cargo.",610341,HS 61,HS 61,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of wool or fine animal hair, knitted or crocheted",en
"Other cargo vessels for industrial/commercial use, for regional retail supply chain, shipping term CIF.",890190,HS 89,Ships,Other cargo vessels,en
"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",690100,HS 69,HS 69,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (e.g. kieselguhr, tripolite or diatomite) or of similar siliceous earths",en
"Plywood; with sheets of wood only; not bamboo; each ply 6mm or less, with at least one outer ply of alder, ash, beech, birch, cherry, chestnut, elm, eucalyptus, hickory, horse chestnut, lime, maple, oak, plane, poplar, aspen, robinia, tulipwood or walnut, for bulk procurement program, shipping term FOB.",441233,HS 44,HS 44,"Plywood; with sheets of wood only; not bamboo; each ply 6mm or less, with at least one outer ply of alder, ash, beech, birch, cherry, chestnut, elm, eucalyptus, hickory, horse chestnut, lime, maple, oak, plane, poplar, aspen, robinia, tulipwood or walnut",en
"Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter",081190,HS 08,HS 08,"Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter",en
"Fruit, edible; figs, fresh or dried, for regional retail supply chain, for 20ft container loading.",080420,HS 08,HS 08,"Fruit, edible; figs, fresh or dried",en
"Textile floor coverings; felt tiles, (not tufted or flocked), whether or not made up, having a maximum surface area of 0.3m2, for customs clearance and import declaration, shipping term FOB.",570410,HS 57,HS 57,"Textile floor coverings; felt tiles, (not tufted or flocked), whether or not made up, having a maximum surface area of 0.3m2",en
"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 50cc but not exceeding 250cc, with or without side-cars; side-cars",871120,HS 87,Vehicles,"Motorcycles, 50-250cc",en
"Brooms, brushes, mops, feather dusters, squeegees, hand operated mechanical floor sweepers; (not motorised), prepared knots and tufts for brooms or brush making n.e.c., for customs clearance and import declaration, shipping term CIF.",960390,HS 96,HS 96,"Brooms, brushes, mops, feather dusters, squeegees, hand operated mechanical floor sweepers; (not motorised), prepared knots and tufts for brooms or brush making n.e.c.",en
"Machine-tools; bending, folding, straightening or flattening machines (including press brakes), for working metal, numerically controlled n.e.c. in item 84.62.2, for cross-border shipment, for 20ft container loading.",846229,HS 84,HS 84,"Machine-tools; bending, folding, straightening or flattening machines (including press brakes), for working metal, numerically controlled n.e.c. in item 84.62.2",en
"Dairy produce; cheese of all kinds, grated or powdered, for bulk procurement program, for 20ft container loading.",040620,HS 04,HS 04,"Dairy produce; cheese of all kinds, grated or powdered",en
"Fabrics, narrow woven fabrics, n.e.c. in heading no. 5806, of man-made fibres (excluding goods of heading no. 5807), for industrial procurement contract, for scheduled maritime transport.",580632,HS 58,HS 58,"Fabrics, narrow woven fabrics, n.e.c. in heading no. 5806, of man-made fibres (excluding goods of heading no. 5807)",en
"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium",320820,HS 32,HS 32,"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium",en
"Women's trousers of cotton, commercial grade, for import, for cross-border shipment, shipping term CIF.",620462,HS 62,Garments,Women's trousers of cotton,en
"Ethylene polymers; in primary forms, n.e.c. in heading no. 3901, for bonded warehouse delivery, for mixed-lot cargo.",390190,HS 39,HS 39,"Ethylene polymers; in primary forms, n.e.c. in heading no. 3901",en
"Export grade other games and articles for games, certified",950490,HS 95,Toys,Other games and articles for games,en
"Dairy produce; derived from milk, butter, for industrial procurement contract, for scheduled maritime transport.",040510,HS 04,HS 04,"Dairy produce; derived from milk, butter",en
Electrical machines and apparatus; parts of the electrical goods of heading no. 8543,854390,HS 85,HS 85,Electrical machines and apparatus; parts of the electrical goods of heading no. 8543,en
"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, of weaves n.e.c. in item no. 5208.1, weighing not more than 200g/m2",520819,HS 52,HS 52,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, of weaves n.e.c. in item no. 5208.1, weighing not more than 200g/m2",en
"Aluminium; collapsible tubular containers, for any material, (not compressed or liquefied gas), 300l capacity or less, whether or not lined, not fitted with mechanical/thermal equipment",761210,HS 76,HS 76,"Aluminium; collapsible tubular containers, for any material, (not compressed or liquefied gas), 300l capacity or less, whether or not lined, not fitted with mechanical/thermal equipment",en
"Communication apparatus; parts, other than aerials and aerial reflectors of all kinds",851779,HS 85,HS 85,"Communication apparatus; parts, other than aerials and aerial reflectors of all kinds",en
"Vehicle parts; brakes, servo-brakes and parts thereof, for customs clearance and import declaration, for mixed-lot cargo.",870830,HS 87,HS 87,"Vehicle parts; brakes, servo-brakes and parts thereof",en
"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, for cross-border shipment, with standard commercial invoice and packing list.",030243,HS 03,HS 03,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",en
